{'epoch': 1000, 'lr': 8e-05, 'wd': 0, 'sim_threshold': 0.7, 'loss_p_weight': 0.993, 'loss_d_weight': 0.994, 'loss_weight': 0.002, 'a1': 1e-08, 'a2': 1e-08, 'dropout': 0, 'graph_dropout': 0, 'fr_dim': [4096, [1426, 1024], [681, 256], 4447], 'fd_dim': [2048, [1426, 1024], [681, 256], 4447]}
Epoch: 449 loss: 0.000177, pauc: 0.917827, paupr: 0.785686, paupr_m: 0.815038, dauc: 0.821871, daupr: 0.336839, daupr_m: 0.358348
Epoch: 459 loss: 0.000176, pauc: 0.917950, paupr: 0.785946, paupr_m: 0.815202, dauc: 0.822324, daupr: 0.337053, daupr_m: 0.360294
Epoch: 469 loss: 0.000176, pauc: 0.917883, paupr: 0.786314, paupr_m: 0.815359, dauc: 0.822781, daupr: 0.337115, daupr_m: 0.359922
Epoch: 479 loss: 0.000176, pauc: 0.918195, paupr: 0.786435, paupr_m: 0.815762, dauc: 0.823278, daupr: 0.337348, daupr_m: 0.364286
Epoch: 489 loss: 0.000176, pauc: 0.918312, paupr: 0.786695, paupr_m: 0.815002, dauc: 0.823684, daupr: 0.337510, daupr_m: 0.362844
Epoch: 499 loss: 0.000176, pauc: 0.917998, paupr: 0.786979, paupr_m: 0.815372, dauc: 0.824061, daupr: 0.337919, daupr_m: 0.360261
Epoch: 509 loss: 0.000176, pauc: 0.917983, paupr: 0.787318, paupr_m: 0.816014, dauc: 0.824449, daupr: 0.338057, daupr_m: 0.362275
Epoch: 519 loss: 0.000176, pauc: 0.918221, paupr: 0.787526, paupr_m: 0.815830, dauc: 0.824732, daupr: 0.338432, daupr_m: 0.364427
Epoch: 529 loss: 0.000175, pauc: 0.917767, paupr: 0.787711, paupr_m: 0.816359, dauc: 0.825059, daupr: 0.338480, daupr_m: 0.364507
Epoch: 539 loss: 0.000175, pauc: 0.917822, paupr: 0.787806, paupr_m: 0.816696, dauc: 0.825367, daupr: 0.338937, daupr_m: 0.363724
Epoch: 549 loss: 0.000175, pauc: 0.917939, paupr: 0.788141, paupr_m: 0.816944, dauc: 0.825643, daupr: 0.339075, daupr_m: 0.364046
Epoch: 559 loss: 0.000175, pauc: 0.918128, paupr: 0.788616, paupr_m: 0.817304, dauc: 0.825914, daupr: 0.339689, daupr_m: 0.364335
Epoch: 569 loss: 0.000175, pauc: 0.917976, paupr: 0.788711, paupr_m: 0.817278, dauc: 0.826202, daupr: 0.340011, daupr_m: 0.367507
Epoch: 579 loss: 0.000175, pauc: 0.918275, paupr: 0.788732, paupr_m: 0.817595, dauc: 0.826510, daupr: 0.340498, daupr_m: 0.367724
Epoch: 589 loss: 0.000175, pauc: 0.917740, paupr: 0.789059, paupr_m: 0.817992, dauc: 0.826821, daupr: 0.340386, daupr_m: 0.368073
Epoch: 599 loss: 0.000175, pauc: 0.917705, paupr: 0.789291, paupr_m: 0.817574, dauc: 0.827120, daupr: 0.340757, daupr_m: 0.368298
Epoch: 609 loss: 0.000175, pauc: 0.918265, paupr: 0.789548, paupr_m: 0.817874, dauc: 0.827379, daupr: 0.340914, daupr_m: 0.369812
